Species,Abundance,Body size,Habitat type,Study site,Area,Acronym
 Synuchus nitidus,135,Medium-sized species,Forest species ,Suzunomiya park,Small area ,SU
 Harpalus tinctulus,50,Small-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Dolichus halensis,46,Medium-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Synuchus dulcigradus,26,Small-sized species,Forest species ,Suzunomiya park,Small area ,SU
 Amara congrua ,26,Small-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Harpalus niigatanus,19,Medium-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Harpalus sinicus,13,Medium-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Archipatrobus flavipes,5,Medium-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Synuchus cycloderus,5,Medium-sized species,Forest species ,Suzunomiya park,Small area ,SU
 Harpalus griseus,4,Medium-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Harpalus simplicidens,4,Medium-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Harpalus tridens,3,Medium-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Amara simplicidens,2,Small-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Anisodactylus signatus,2,Medium-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Anisodactylus tricuspidatus,2,Medium-sized species,Forest species ,Suzunomiya park,Small area ,SU
 Pheropsophus jessoensis,2,Medium-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Pterostichus microcephalus,1,Small-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Amara chalcites,1,Small-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Amara macronota,1,Medium-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Anisodactylus sadoensis,1,Medium-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Stenolophus fulvicornis,1,Small-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Aephnidius adelioides,1,Small-sized species,Open land species ,Suzunomiya park,Small area ,SU
 Synuchus nitidus,61,Medium-sized species,Forest species ,Chayama park,Small area ,CH
 Pterostichus sulcitarsis,10,Small-sized species,Open land species ,Chayama park,Small area ,CH
 Synuchus dulcigradus,4,Small-sized species,Forest species ,Chayama park,Small area ,CH
 Harpalus eous,4,Medium-sized species,Open land species ,Chayama park,Small area ,CH
 Harpalus tinctulus,3,Small-sized species,Open land species ,Chayama park,Small area ,CH
 Dolichus halensis,3,Medium-sized species,Open land species ,Chayama park,Small area ,CH
 Pheropsophus jessoensis,2,Medium-sized species,Open land species ,Chayama park,Small area ,CH
 Scarites terricola pacificus,2,Medium-sized species,Open land species ,Chayama park,Small area ,CH
 Chlaenius virgulifer,2,Medium-sized species,Open land species ,Chayama park,Small area ,CH
 Harpalus sinicus,1,Medium-sized species,Open land species ,Chayama park,Small area ,CH
 Dolichus halensis,6,Medium-sized species,Open land species ,Takasago park,Small area ,TA
 Amara congrua ,5,Small-sized species,Open land species ,Takasago park,Small area ,TA
 Harpalus sinicus,3,Medium-sized species,Open land species ,Takasago park,Small area ,TA
 Synuchus nitidus,1,Medium-sized species,Forest species ,Takasago park,Small area ,TA
 Synuchus nitidus,434,Medium-sized species,Forest species ,Izumigaokaryokuchi,Medium area,IZ
 Synuchus dulcigradus,414,Small-sized species,Forest species ,Izumigaokaryokuchi,Medium area,IZ
 Synuchus cycloderus,28,Medium-sized species,Forest species ,Izumigaokaryokuchi,Medium area,IZ
 Anisodactylus tricuspidatus,23,Medium-sized species,Forest species ,Izumigaokaryokuchi,Medium area,IZ
 Dolichus halensis,15,Medium-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Synuchus arcuaticollis,14,Small-sized species,Forest species ,Izumigaokaryokuchi,Medium area,IZ
 Pheropsophus jessoensis,11,Medium-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Synuchus melantho,9,Medium-sized species,Forest species ,Izumigaokaryokuchi,Medium area,IZ
 Harpalus sinicus,6,Medium-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Harpalus eous,6,Medium-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Harpalus niigatanus,4,Medium-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Pterostichus sulcitarsis,3,Small-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Archipatrobus flavipes,3,Medium-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Harpalus tridens,3,Medium-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Anisodactylus sadoensis,3,Medium-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Carabus yaconinus,3,Large-sized species,Forest species ,Izumigaokaryokuchi,Medium area,IZ
 Haplochlaenius costiger,3,Large-sized species,Forest species ,Izumigaokaryokuchi,Medium area,IZ
 Brachinus scotomedes,3,Medium-sized species,Forest species ,Izumigaokaryokuchi,Medium area,IZ
 Amara congrua ,2,Small-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Lesticus magnus,2,Large-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Harpalus simplicidens,1,Medium-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Anisodactylus signatus,1,Medium-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Pterostichus microcephalus,1,Small-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Trigonotoma lewisii,1,Medium-sized species,Forest species ,Izumigaokaryokuchi,Medium area,IZ
 Platynus magnus,1,Medium-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Harpalus capito,1,Large-sized species,Open land species ,Izumigaokaryokuchi,Medium area,IZ
 Synuchus nitidus,224,Medium-sized species,Forest species ,Niwasiro park,Medium area,NI
 Synuchus dulcigradus,56,Small-sized species,Forest species ,Niwasiro park,Medium area,NI
 Dolichus halensis,10,Medium-sized species,Open land species ,Niwasiro park,Medium area,NI
 Synuchus arcuaticollis,6,Small-sized species,Forest species ,Niwasiro park,Medium area,NI
 Amara congrua ,5,Small-sized species,Open land species ,Niwasiro park,Medium area,NI
 Pterostichus polygenus,5,Small-sized species,Open land species ,Niwasiro park,Medium area,NI
 Harpalus sinicus,3,Medium-sized species,Open land species ,Niwasiro park,Medium area,NI
 Scarites terricola pacificus,3,Medium-sized species,Open land species ,Niwasiro park,Medium area,NI
 Tachyura laetifica,3,Small-sized species,Open land species ,Niwasiro park,Medium area,NI
 Pterostichus sulcitarsis,2,Small-sized species,Open land species ,Niwasiro park,Medium area,NI
 Platynus chalcomus,2,Small-sized species,Open land species ,Niwasiro park,Medium area,NI
